chunk_14_gold,sentence,chunk_15,chunk_14,chunk_16,chunk_11,chunk_10,chunk_13,chunk_12,_created_at,answer_chunk_05_gold,orig__golden,answer_chunk_15_gold,_country,_tainted,frame,_started_at,_trust,chunk_02_gold,answer_chunk_06_gold,chunk_06_gold,chunk_05_gold,answer_chunk_11_gold,chunk_03_gold,answer_chunk_07_gold,chunk_13_gold,answer_chunk_01_gold,_city,chunk_15_gold,answer_chunk_16,answer_chunk_15,answer_chunk_14,answer_chunk_13,answer_chunk_12,answer_chunk_11,answer_chunk_10,answer_chunk_02_gold,chunk_12_gold,_unit_id,answer_chunk_08_gold,answer_chunk_08,answer_chunk_09,answer_chunk_04,answer_chunk_05,answer_chunk_06,answer_chunk_07,answer_chunk_00,answer_chunk_01,answer_chunk_02,answer_chunk_03,_region,lu,_worker_id,fe_06,fe_05,fe_04,fe_03,fe_02,fe_01,fe_00,_channel,chunk_09_gold,answer_chunk_16_gold,answer_chunk_14_gold,chunk_04_gold,answer_chunk_13_gold,answer_chunk_12_gold,answer_chunk_10_gold,_missed,answer_chunk_04_gold,chunk_01_gold,chunk_00_gold,id,_golden,chunk_07_gold,chunk_08,chunk_09,chunk_08_gold,chunk_02,chunk_03,chunk_00,chunk_01,chunk_06,chunk_07,chunk_04,chunk_05,answer_chunk_00_gold,answer_chunk_03_gold,chunk_10_gold,chunk_16_gold,_ip,chunk_11_gold,_id,answer_chunk_09_gold
,"British painter, teacher, and writer on art, born at Beaulieu, France.",,,,,,,,5/19/2016 11:59:29,,,,CAN,false,Birth,5/19/2016 11:57:46,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124803,,,,None,None,None,,None,Occupation,Occupation,Occupation,NS,bear,37336603,,,,Mother,Father,Child,Occupation,prizerebel,,,,,,,,,,,,762,false,,,,,teacher,writer,British,painter,France,,art,Beaulieu,,,,,142.177.156.75,,1992428375,
,"British painter, teacher, and writer on art, born at Beaulieu, France.",,,,,,,,5/19/2016 13:17:21,,,,IRL,false,Birth,5/19/2016 13:14:43,0.5536,,,,,,,,,,,,,,,,,,,,,954124803,,,,None,None,None,,None,Occupation,Occupation,Occupation,,bear,9234773,,,,Mother,Father,Child,Occupation,clixsense,,,,,,,,,,,,762,false,,,,,teacher,writer,British,painter,France,,art,Beaulieu,,,,,213.233.147.88,,1992487509,
,Family of Venetian painters who played a dominant role in the art of their city for three-quarters of a century.,,,,,,,,5/19/2016 21:48:42,,,,USA,false,Players and roles,5/19/2016 21:46:13,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124804,,,,None,,,,None,Player,Player,None,VA,play,36340274,,,,Co-player,Audience,Player,Performance,neodev,,,,,,,,,,,,1337,false,,,,,painters,art,Family,Venetian,,,century,,,,,,69.255.41.140,,1993014055,
,Family of Venetian painters who played a dominant role in the art of their city for three-quarters of a century.,,,,,,,,5/20/2016 15:18:31,,,,IRL,false,Players and roles,5/20/2016 15:17:11,0.5536,,,,,,,,,,,,,,,,,,,,,954124804,,,,None,,,,Player,None,Player,Performance,,play,9234773,,,,Co-player,Audience,Player,Performance,clixsense,,,,,,,,,,,,1337,false,,,,,painters,art,Family,Venetian,,,century,,,,,,213.233.147.95,,1994038675,
,Family of Venetian painters who played a dominant role in the art of their city for three-quarters of a century.,,,,,,,,5/20/2016 18:01:56,,,,GBR,false,Players and roles,5/20/2016 17:57:28,0.625,,,,,,,,,,York,,,,,,,,,,,954124804,,,,None,,,,None,Co-player,Co-player,None,Q5,play,37336417,,,,Co-player,Audience,Player,Performance,getpaid,,,,,,,,,,,,1337,false,,,,,painters,art,Family,Venetian,,,century,,,,,,81.102.132.50,,1994218437,
,"http://www.signandsight.com/features/773.html C. Tittell, ‘And then it went boom’, Sign and Sight (8 June 2006).",,,,,,,,5/18/2016 12:12:47,,,,CAN,false,Motion,5/18/2016 12:11:15,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124811,,,,,,,,None,None,,,ON,go,4316379,,,Purpose,Provenance,Destination,Cause,Path,prodege,,,,,,,,,,,,1333,false,,,,,,,Sign,Sight,,,,,,,,,198.91.218.68,,1990854664,
,"http://www.signandsight.com/features/773.html C. Tittell, ‘And then it went boom’, Sign and Sight (8 June 2006).",,,,,,,,5/18/2016 14:20:21,,,,GBR,false,Motion,5/18/2016 14:16:44,0.625,,,,,,,,,,York,,,,,,,,,,,954124811,,,,,,,,None,None,,,Q5,go,37336417,,,Purpose,Provenance,Destination,Cause,Path,getpaid,,,,,,,,,,,,1333,false,,,,,,,Sign,Sight,,,,,,,,,81.102.132.50,,1990967164,
,"http://www.signandsight.com/features/773.html C. Tittell, ‘And then it went boom’, Sign and Sight (8 June 2006).",,,,,,,,5/18/2016 15:45:22,,,,CAN,false,Motion,5/18/2016 15:39:39,0.5625,,,,,,,,,,Hamilton,,,,,,,,,,,954124811,,,,,,,,Cause,None,,,ON,go,32573092,,,Purpose,Provenance,Destination,Cause,Path,prodege,,,,,,,,,,,,1333,false,,,,,,,Sign,Sight,,,,,,,,,207.188.90.138,,1991048257,
,He was born in Wales but is known as ‘Barker of Bath’ from his main place of work.,,,,,,,,5/19/2016 21:06:25,,,,USA,false,Birth,5/19/2016 21:03:55,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124812,,,,None,,,,None,None,None,None,VA,bear,36340274,,,,Mother,Father,Child,Occupation,neodev,,,,,,,,,,,,1284,false,,,,,Bath,main,Wales,Barker,,,place of work,,,,,,69.255.41.140,,1992975295,
,He was born in Wales but is known as ‘Barker of Bath’ from his main place of work.,,,,,,,,5/19/2016 22:51:14,,,,CAN,false,Birth,5/19/2016 22:49:36,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124812,,,,None,,,,None,None,None,None,ON,bear,4316379,,,,Mother,Father,Child,Occupation,prodege,,,,,,,,,,,,1284,false,,,,,Bath,main,Wales,Barker,,,place of work,,,,,,198.91.218.68,,1993061246,
,He was born in Wales but is known as ‘Barker of Bath’ from his main place of work.,,,,,,,,5/20/2016 14:09:31,,,,USA,false,Birth,5/20/2016 14:04:57,0.5,,,,,,,,,,San Jose,,,,,,,,,,,954124812,,,,None,,,,None,None,None,None,CA,bear,37258822,,,,Mother,Father,Child,Occupation,elite,,,,,,,,,,,,1284,false,,,,,Bath,main,Wales,Barker,,,place of work,,,,,,23.27.45.91,,1993962792,
,Family of Venetian painters who played a dominant role in the art of their city for three-quarters of a century.,,,,,,,,5/19/2016 21:48:42,,,,USA,false,Players and roles,5/19/2016 21:46:13,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124822,,,,None,,,,None,Player,Player,None,VA,play,36340274,,,,Co-player,Audience,Player,Performance,neodev,,,,,,,,,,,,1320,false,,,,,painters,art,Family,Venetian,,,century,,,,,,69.255.41.140,,1993014051,
,Family of Venetian painters who played a dominant role in the art of their city for three-quarters of a century.,,,,,,,,5/20/2016 15:18:31,,,,IRL,false,Players and roles,5/20/2016 15:17:11,0.5536,,,,,,,,,,,,,,,,,,,,,954124822,,,,None,,,,Player,Player,Player,Performance,,play,9234773,,,,Co-player,Audience,Player,Performance,clixsense,,,,,,,,,,,,1320,false,,,,,painters,art,Family,Venetian,,,century,,,,,,213.233.147.95,,1994038667,
,Family of Venetian painters who played a dominant role in the art of their city for three-quarters of a century.,,,,,,,,5/20/2016 18:01:56,,,,GBR,false,Players and roles,5/20/2016 17:57:28,0.625,,,,,,,,,,York,,,,,,,,,,,954124822,,,,None,,,,None,Co-player,Co-player,None,Q5,play,37336417,,,,Co-player,Audience,Player,Performance,getpaid,,,,,,,,,,,,1320,false,,,,,painters,art,Family,Venetian,,,century,,,,,,81.102.132.50,,1994218446,
,Refuting Morris in a letter of 1967 she wrote: ‘A painting is an object which has an emphatic frontal surface.,,,,,,,,5/18/2016 12:04:46,,,,CAN,false,Text creation,5/18/2016 12:01:27,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124823,,,,None,None,,,Addressee,Written work,None,None,ON,write,4316379,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,prodege,,,,,,,,,,,,1136,false,,,,,painting,object,Morris,letter,,,emphatic,frontal,,,,,198.91.218.68,,1990849484,
,Refuting Morris in a letter of 1967 she wrote: ‘A painting is an object which has an emphatic frontal surface.,,,,,,,,5/18/2016 14:02:05,,,,GBR,false,Text creation,5/18/2016 13:54:29,0.625,,,,,,,,,,York,,,,,,,,,,,954124823,,,,None,None,,,Addressee,Written work,Main topic,Main topic,Q5,write,37336417,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,getpaid,,,,,,,,,,,,1136,false,,,,,painting,object,Morris,letter,,,emphatic,frontal,,,,,81.102.132.50,,1990947215,
,Refuting Morris in a letter of 1967 she wrote: ‘A painting is an object which has an emphatic frontal surface.,,,,,,,,5/18/2016 15:13:40,,,,CAN,false,Text creation,5/18/2016 14:59:07,0.5625,,,,,,,,,,Hamilton,,,,,,,,,,,954124823,,,,None,None,,,None,Written work,None,None,ON,write,32573092,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,prodege,,,,,,,,,,,,1136,false,,,,,painting,object,Morris,letter,,,emphatic,frontal,,,,,207.188.90.138,,1991020456,
,He went to America as a stowaway in 1926 and the following year settled in New York.,,,,,,,,5/18/2016 15:51:40,,,,CAN,false,Motion,5/18/2016 15:45:23,0.5625,,,,,,,,,,Hamilton,,,,,,,,,,,954124826,,,,,,,,Destination,None,Destination,,ON,go,32573092,,,Purpose,Provenance,Destination,Cause,Path,prodege,,,,,,,,,,,,875,false,,,,,New York,,America,stowaway,,,,,,,,,207.188.90.138,,1991054395,
,He went to America as a stowaway in 1926 and the following year settled in New York.,,,,,,,,5/18/2016 18:07:27,,,,ITA,false,Motion,5/18/2016 17:57:31,0.6154,,,,,,,,,,Bergamo,,,,,,,,,,,954124826,,,,,,,,Destination,None,None,,09,go,37761577,,,Purpose,Provenance,Destination,Cause,Path,cf_internal,,,,,,,,,,,,875,false,,,,,New York,,America,stowaway,,,,,,,,,151.55.84.9,,1991220527,
,He went to America as a stowaway in 1926 and the following year settled in New York.,,,,,,,,5/18/2016 19:04:46,,,,GBR,false,Motion,5/18/2016 18:58:19,0.625,,,,,,,,,,York,,,,,,,,,,,954124826,,,,,,,,Destination,None,Destination,,Q5,go,37336417,,,Purpose,Provenance,Destination,Cause,Path,getpaid,,,,,,,,,,,,875,false,,,,,New York,,America,stowaway,,,,,,,,,81.102.132.50,,1991324468,
,"Initially he trained to be a teacher, but in 1936 he went to Paris to study art.",,,,,,,,5/19/2016 23:04:55,,,,USA,false,Motion,5/19/2016 23:01:47,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124832,,,,,,,,None,None,Destination,None,VA,go,36340274,,,Purpose,Provenance,Destination,Cause,Path,neodev,,,,,,,,,,,,1396,false,,,,,Paris,art,trained,teacher,,,,,,,,,69.255.41.140,,1993069607,
,"Initially he trained to be a teacher, but in 1936 he went to Paris to study art.",,,,,,,,5/20/2016 15:58:18,,,,IRL,false,Motion,5/20/2016 15:55:44,0.5536,,,,,,,,,,,,,,,,,,,,,954124832,,,,,,,,None,None,Destination,Purpose,,go,9234773,,,Purpose,Provenance,Destination,Cause,Path,clixsense,,,,,,,,,,,,1396,false,,,,,Paris,art,trained,teacher,,,,,,,,,213.233.147.95,,1994103985,
,"Initially he trained to be a teacher, but in 1936 he went to Paris to study art.",,,,,,,,5/20/2016 19:51:56,,,,GBR,false,Motion,5/20/2016 19:46:01,0.625,,,,,,,,,,York,,,,,,,,,,,954124832,,,,,,,,None,None,Destination,None,Q5,go,37336417,,,Purpose,Provenance,Destination,Cause,Path,getpaid,,,,,,,,,,,,1396,false,,,,,Paris,art,trained,teacher,,,,,,,,,81.102.132.50,,1994279016,
,"These incorporated perspectival devices to create spatial illusion, to suggest the neon and billboards of the modern city.",,,,,,,,5/19/2016 12:20:53,,,,CAN,false,Creating,5/19/2016 12:19:20,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124834,,None,,None,None,None,None,None,None,None,None,NS,create,37336603,,,Creator,Co-creator,Cause,Created,Material used,prizerebel,,,,,,,,,,,,1301,false,,city,,,devices,spatial,incorporated,perspectival,billboards,modern,illusion,neon,,,,,142.177.156.75,,1992445070,
,"These incorporated perspectival devices to create spatial illusion, to suggest the neon and billboards of the modern city.",,,,,,,,5/19/2016 16:50:09,,,,SWE,false,Creating,5/19/2016 16:36:48,0.5714,,,,,,,,,,Linköping,,,,,,,,,,,954124834,,None,,Created,None,None,None,Created,Created,Created,Created,16,create,30009233,,,Creator,Co-creator,Cause,Created,Material used,tremorgames,,,,,,,,,,,,1301,false,,city,,,devices,spatial,incorporated,perspectival,billboards,modern,illusion,neon,,,,,85.229.216.205,,1992725343,
,"These incorporated perspectival devices to create spatial illusion, to suggest the neon and billboards of the modern city.",,,,,,,,5/19/2016 17:01:10,,,,IRL,false,Creating,5/19/2016 16:58:03,0.5536,,,,,,,,,,,,,,,,,,,,,954124834,,None,,Created,None,None,None,None,None,None,None,,create,9234773,,,Creator,Co-creator,Cause,Created,Material used,clixsense,,,,,,,,,,,,1301,false,,city,,,devices,spatial,incorporated,perspectival,billboards,modern,illusion,neon,,,,,213.233.147.88,,1992733571,
,On stylistic grounds it is likely that Jacob too went there at some time.,,,,,,,,5/18/2016 12:11:14,,,,CAN,false,Motion,5/18/2016 12:09:40,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124836,,,,,,,,None,None,,,ON,go,4316379,,,Purpose,Provenance,Destination,Cause,Path,prodege,,,,,,,,,,,,1410,false,,,,,,,stylistic,time,,,,,,,,,198.91.218.68,,1990853674,
,On stylistic grounds it is likely that Jacob too went there at some time.,,,,,,,,5/18/2016 14:16:43,,,,GBR,false,Motion,5/18/2016 14:10:52,0.625,,,,,,,,,,York,,,,,,,,,,,954124836,,,,,,,,Provenance,None,,,Q5,go,37336417,,,Purpose,Provenance,Destination,Cause,Path,getpaid,,,,,,,,,,,,1410,false,,,,,,,stylistic,time,,,,,,,,,81.102.132.50,,1990963759,
,On stylistic grounds it is likely that Jacob too went there at some time.,,,,,,,,5/18/2016 15:39:31,,,,CAN,false,Motion,5/18/2016 15:35:26,0.5625,,,,,,,,,,Hamilton,,,,,,,,,,,954124836,,,,,,,,None,None,,,ON,go,32573092,,,Purpose,Provenance,Destination,Cause,Path,prodege,,,,,,,,,,,,1410,false,,,,,,,stylistic,time,,,,,,,,,207.188.90.138,,1991043361,
,"They were much reproduced in engravings, and some of them went on tour and were even made the subject of sermons.",,,,,,,,5/19/2016 10:14:00,,,,GBR,false,Motion,5/19/2016 10:09:30,0.625,,,,,,,,,,York,,,,,,,,,,,954124848,,,,,,,,None,None,,,Q5,go,37336417,,,Purpose,Provenance,Destination,Cause,Path,getpaid,,,,,,,,,,,,1466,false,,,,,,,engravings,subject,,,,,,,,,81.102.132.50,,1992339022,
,"They were much reproduced in engravings, and some of them went on tour and were even made the subject of sermons.",,,,,,,,5/19/2016 12:06:51,,,,CAN,false,Motion,5/19/2016 12:05:41,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124848,,,,,,,,None,None,,,NS,go,37336603,,,Purpose,Provenance,Destination,Cause,Path,prizerebel,,,,,,,,,,,,1466,false,,,,,,,engravings,subject,,,,,,,,,142.177.156.75,,1992434075,
,"They were much reproduced in engravings, and some of them went on tour and were even made the subject of sermons.",,,,,,,,5/19/2016 13:26:20,,,,IRL,false,Motion,5/19/2016 13:24:09,0.5536,,,,,,,,,,,,,,,,,,,,,954124848,,,,,,,,Purpose,None,,,,go,9234773,,,Purpose,Provenance,Destination,Cause,Path,clixsense,,,,,,,,,,,,1466,false,,,,,,,engravings,subject,,,,,,,,,213.233.147.88,,1992495234,
,He advocated the use of materials such as glass and electric lights and the introduction of electric motors to create movement.,,,,,,,,5/18/2016 19:24:35,,,,GBR,false,Creating,5/18/2016 19:18:04,0.625,,,,,,,,,,York,,,,,,,,,,,954124857,,,,Created,,,,Material used,Material used,Material used,Material used,Q5,create,37336417,,,Creator,Co-creator,Cause,Created,Material used,getpaid,,,,,,,,,,,,1275,false,,,,,electric lights,electric motors,materials,glass,,,movement,,,,,,81.102.132.50,,1991396829,
,He advocated the use of materials such as glass and electric lights and the introduction of electric motors to create movement.,,,,,,,,5/19/2016 00:43:24,,,,USA,false,Creating,5/19/2016 00:39:32,0.5,,,,,,,,,,Mountain View,,,,,,,,,,,954124857,,,,Created,,,,Material used,Material used,Material used,Material used,CA,create,6349089,,,Creator,Co-creator,Cause,Created,Material used,clixsense,,,,,,,,,,,,1275,false,,,,,electric lights,electric motors,materials,glass,,,movement,,,,,,204.16.69.129,,1991778319,
,He advocated the use of materials such as glass and electric lights and the introduction of electric motors to create movement.,,,,,,,,5/19/2016 11:39:36,,,,CAN,false,Creating,5/19/2016 11:38:15,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124857,,,,Cause,,,,None,Material used,Material used,Material used,NS,create,37336603,,,Creator,Co-creator,Cause,Created,Material used,prizerebel,,,,,,,,,,,,1275,false,,,,,electric lights,electric motors,materials,glass,,,movement,,,,,,142.177.156.75,,1992414275,
,Netherlandish painter and designer who had an international career and played an important part in the spread of Mannerism in northern Europe.,,,,,,,,5/18/2016 19:49:45,,,,GBR,false,Players and roles,5/18/2016 19:39:12,0.625,,,,,,,,,,York,,,,,,,,,,,954124876,,,,None,None,None,,Player,Player,Player,None,Q5,play,37336417,,,,Co-player,Audience,Player,Performance,getpaid,,,,,,,,,,,,1629,false,,,,,designer,international,Netherlandish,painter,northern Europe,,spread,Mannerism,,,,,81.102.132.50,,1991430155,
,Netherlandish painter and designer who had an international career and played an important part in the spread of Mannerism in northern Europe.,,,,,,,,5/19/2016 00:49:59,,,,USA,false,Players and roles,5/19/2016 00:45:57,0.5,,,,,,,,,,Mountain View,,,,,,,,,,,954124876,,,,None,None,None,,None,None,Player,None,CA,play,6349089,,,,Co-player,Audience,Player,Performance,clixsense,,,,,,,,,,,,1629,false,,,,,designer,international,Netherlandish,painter,northern Europe,,spread,Mannerism,,,,,204.16.69.129,,1991781937,
,Netherlandish painter and designer who had an international career and played an important part in the spread of Mannerism in northern Europe.,,,,,,,,5/19/2016 11:43:07,,,,CAN,false,Players and roles,5/19/2016 11:40:55,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124876,,,,None,None,None,,None,None,None,None,NS,play,37336603,,,,Co-player,Audience,Player,Performance,prizerebel,,,,,,,,,,,,1629,false,,,,,designer,international,Netherlandish,painter,northern Europe,,spread,Mannerism,,,,,142.177.156.75,,1992416678,
,"British painter and illustrator, born in Madras, the son of a high court official.",,,,,,,,5/21/2016 17:38:21,,,,IRL,false,Birth,5/21/2016 17:32:15,0.5536,,,,,,,,,,,,,,,,,,,,,954124878,,,,Child,Occupation,Occupation,,None,Occupation,Occupation,None,,bear,9234773,,,,Mother,Father,Child,Occupation,clixsense,,,,,,,,,,,,1559,false,,,,,illustrator,Madras,British,painter,court official,,son,high court,,,,,213.233.132.132,,1995314653,
,"British painter and illustrator, born in Madras, the son of a high court official.",,,,,,,,5/21/2016 17:42:16,,,,USA,false,Birth,5/21/2016 17:40:10,0.4348,,,,,,,,,,Tustin,,,,,,,,,,,954124878,,,,Child,None,Occupation,,None,Occupation,Occupation,None,MI,bear,36856858,,,,Mother,Father,Child,Occupation,neodev,,,,,,,,,,,,1559,false,,,,,illustrator,Madras,British,painter,court official,,son,high court,,,,,107.141.251.154,,1995317380,
,"British painter and illustrator, born in Madras, the son of a high court official.",,,,,,,,5/21/2016 18:18:07,,,,USA,false,Birth,5/21/2016 18:16:16,0.5714,,,,,,,,,,Brooklyn,,,,,,,,,,,954124878,,,,Child,Father,Father,,Child,Occupation,Occupation,None,NY,bear,31256687,,,,Mother,Father,Child,Occupation,bitcoinget,,,,,,,,,,,,1559,false,,,,,illustrator,Madras,British,painter,court official,,son,high court,,,,,47.20.252.28,,1995339956,
,At about the time of the Russian Revolution he had become interested in politics and in the role art could play in society.,,,,,,,,5/23/2016 18:42:40,,,,USA,false,Players and roles,5/23/2016 18:37:05,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124881,,,,,,,,None,None,None,None,VA,play,36340274,,,,Co-player,Audience,Player,Performance,neodev,,,,,,,,,,,,1735,false,,,,,politics,art,time,Russian Revolution,,,,,,,,,69.255.41.140,,1997084137,
,At about the time of the Russian Revolution he had become interested in politics and in the role art could play in society.,,,,,,,,5/23/2016 23:11:27,,,,USA,false,Players and roles,5/23/2016 23:06:46,0.6667,,,,,,,,,,Friendswood,,,,,,,,,,,954124881,,,,,,,,None,None,None,Player,TX,play,37897776,,,,Co-player,Audience,Player,Performance,prodege,,,,,,,,,,,,1735,false,,,,,politics,art,time,Russian Revolution,,,,,,,,,107.129.204.243,,1997367010,
,At about the time of the Russian Revolution he had become interested in politics and in the role art could play in society.,,,,,,,,5/24/2016 04:12:37,,,,USA,false,Players and roles,5/24/2016 04:03:16,0.4375,,,,,,,,,,Brookline,,,,,,,,,,,954124881,,,,,,,,None,None,None,Performance,MA,play,20929875,,,,Co-player,Audience,Player,Performance,neodev,,,,,,,,,,,,1735,false,,,,,politics,art,time,Russian Revolution,,,,,,,,,71.174.175.184,,1997586655,
,His uncle Salomon van Ruysdael (this distinction in spelling occurs consistently in their own signatures) presumably also played a part in his artistic education.,,,,,,,,5/21/2016 17:38:21,,,,IRL,false,Players and roles,5/21/2016 17:32:15,0.5536,,,,,,,,,,,,,,,,,,,,,954124883,,,,None,,,,Player,None,None,None,,play,9234773,,,,Co-player,Audience,Player,Performance,clixsense,,,,,,,,,,,,1771,false,,,,,signatures,artistic,Salomon van Ruysdael,spelling,,,education,,,,,,213.233.132.132,,1995314654,
,His uncle Salomon van Ruysdael (this distinction in spelling occurs consistently in their own signatures) presumably also played a part in his artistic education.,,,,,,,,5/21/2016 17:42:16,,,,USA,false,Players and roles,5/21/2016 17:40:10,0.4348,,,,,,,,,,Tustin,,,,,,,,,,,954124883,,,,None,,,,Co-player,None,None,None,MI,play,36856858,,,,Co-player,Audience,Player,Performance,neodev,,,,,,,,,,,,1771,false,,,,,signatures,artistic,Salomon van Ruysdael,spelling,,,education,,,,,,107.141.251.154,,1995317381,
,His uncle Salomon van Ruysdael (this distinction in spelling occurs consistently in their own signatures) presumably also played a part in his artistic education.,,,,,,,,5/21/2016 18:18:07,,,,USA,false,Players and roles,5/21/2016 18:16:16,0.5714,,,,,,,,,,Brooklyn,,,,,,,,,,,954124883,,,,None,,,,Player,None,None,None,NY,play,31256687,,,,Co-player,Audience,Player,Performance,bitcoinget,,,,,,,,,,,,1771,false,,,,,signatures,artistic,Salomon van Ruysdael,spelling,,,education,,,,,,47.20.252.28,,1995339960,
,"He wrote Rhymes on Art (1805), in which he urged national patronage of artists, and Elements of Art (1809), a poem in six cantos.",,,,,,,,5/22/2016 01:45:38,,,,USA,false,Text creation,5/22/2016 01:43:49,0.5714,,,,,,,,,,Brooklyn,,,,,,,,,,,954124890,,,,Written work,None,,,Written work,Reason,Reason,Written work,NY,write,31256687,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,bitcoinget,,,,,,,,,,,,1598,false,,,,,patronage,Elements of Art,Rhymes,national,,,poem,cantos,,,,,47.20.252.28,,1995571288,
,"He wrote Rhymes on Art (1805), in which he urged national patronage of artists, and Elements of Art (1809), a poem in six cantos.",,,,,,,,5/23/2016 01:49:24,,,,USA,false,Text creation,5/23/2016 01:47:18,0.625,,,,,,,,,,El Paso,,,,,,,,,,,954124890,,,,Written work,Reason,,,Written work,None,None,None,TX,write,27770607,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,instagc,,,,,,,,,,,,1598,false,,,,,patronage,Elements of Art,Rhymes,national,,,poem,cantos,,,,,173.175.172.255,,1996250389,
,"He wrote Rhymes on Art (1805), in which he urged national patronage of artists, and Elements of Art (1809), a poem in six cantos.",,,,,,,,5/23/2016 13:59:49,,,,USA,false,Text creation,5/23/2016 13:58:06,0.5714,,,,,,,,,,Cleveland,,,,,,,,,,,954124890,,,,None,None,,,Written work,None,None,Written work,OH,write,10319610,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,clixsense,,,,,,,,,,,,1598,false,,,,,patronage,Elements of Art,Rhymes,national,,,poem,cantos,,,,,75.118.61.247,,1996767049,
,"Many admirers regard him as the most eloquent and poetic English art critic since Ruskin, although others find his prose hard going.",,,,,,,,5/22/2016 01:26:05,,,,USA,false,Motion,5/22/2016 01:23:43,0.5714,,,,,,,,,,Brooklyn,,,,,,,,,,,954124894,,,,None,None,None,None,None,None,None,None,NY,go,31256687,,,Purpose,Provenance,Destination,Cause,Path,bitcoinget,,,,,,,,,,,,1612,false,,,,,English art,art critic,eloquent,poetic,prose,hard,Ruskin,others,,,,,47.20.252.28,,1995560796,
,"Many admirers regard him as the most eloquent and poetic English art critic since Ruskin, although others find his prose hard going.",,,,,,,,5/22/2016 23:38:46,,,,USA,false,Motion,5/22/2016 23:36:43,0.625,,,,,,,,,,El Paso,,,,,,,,,,,954124894,,,,None,None,None,None,None,None,None,None,TX,go,27770607,,,Purpose,Provenance,Destination,Cause,Path,instagc,,,,,,,,,,,,1612,false,,,,,English art,art critic,eloquent,poetic,prose,hard,Ruskin,others,,,,,173.175.172.255,,1996193208,
,"Many admirers regard him as the most eloquent and poetic English art critic since Ruskin, although others find his prose hard going.",,,,,,,,5/23/2016 03:52:45,,,,USA,false,Motion,5/23/2016 03:42:27,0.4375,,,,,,,,,,Roslindale,,,,,,,,,,,954124894,,,,None,None,Cause,None,None,None,Purpose,Purpose,MA,go,20929875,,,Purpose,Provenance,Destination,Cause,Path,neodev,,,,,,,,,,,,1612,false,,,,,English art,art critic,eloquent,poetic,prose,hard,Ruskin,others,,,,,76.19.110.219,,1996313500,
,Most of Ruskin's art criticism was written early in his career; after about 1855 he concentrated more on economic and political questions.,,,,,,,,5/22/2016 01:10:55,,,,USA,false,Text creation,5/22/2016 01:08:52,0.5714,,,,,,,,,,Brooklyn,,,,,,,,,,,954124900,,,,,,,,Author,Written work,None,,NY,write,31256687,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,bitcoinget,,,,,,,,,,,,1798,false,,,,,economic,,Ruskin,art criticism,,,,,,,,,47.20.252.28,,1995552828,
,Most of Ruskin's art criticism was written early in his career; after about 1855 he concentrated more on economic and political questions.,,,,,,,,5/22/2016 05:51:36,,,,CAN,false,Text creation,5/22/2016 05:50:01,0.5714,,,,,,,,,,Calgary,,,,,,,,,,,954124900,,,,,,,,Author,Written work,Main topic,,AB,write,37060395,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,prizerebel,,,,,,,,,,,,1798,false,,,,,economic,,Ruskin,art criticism,,,,,,,,,198.53.98.37,,1995647468,
,Most of Ruskin's art criticism was written early in his career; after about 1855 he concentrated more on economic and political questions.,,,,,,,,5/22/2016 19:55:33,,,,GBR,false,Text creation,5/22/2016 19:52:29,0.4286,,,,,,,,,,,,,,,,,,,,,954124900,,,,,,,,Author,Written work,Main topic,,,write,18703384,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,neodev,,,,,,,,,,,,1798,false,,,,,economic,,Ruskin,art criticism,,,,,,,,,94.193.183.87,,1996049343,
,He wrote The Student's Book of Etching (1938).,,,,,,,,5/22/2016 01:08:51,,,,USA,false,Text creation,5/22/2016 01:07:14,0.5714,,,,,,,,,,Brooklyn,,,,,,,,,,,954124904,,,,,,,,Written work,Written work,Written work,,NY,write,31256687,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,bitcoinget,,,,,,,,,,,,1646,false,,,,,Etching,,Student,Book,,,,,,,,,47.20.252.28,,1995551831,
